-----
maker-scaffold28133_len7439_cov91-augustus-gene-0.6	PREDICTED: uncharacterized protein C2orf50-like isoform X1	162	20	2.08E-18	60.25%				PTHR31909:SF2 (PANTHER); PTHR31909 (PANTHER)
augustus_masked-scaffold134298_len5576_cov90_single-processed-gene-0.0	---NA---	193							no IPS match
snap_masked-scaffold134298_len5576_cov90_single-processed-gene-0.5	---NA---	99							no IPS match
maker-scaffold15735_len47101_cov81-augustus-gene-0.36	---NA---	307							no IPS match
snap_masked-scaffold15735_len47101_cov81-processed-gene-0.19	---NA---	1350							Coil (COILS)
snap_masked-scaffold15735_len47101_cov81-processed-gene-0.18	Filamin ABP280 repeat	551	20	3.51E-9	43.1%	1	F:actin filament binding		IPR013783 (G3DSA:2.60.40.GENE3D); PTHR11915 (PANTHER); IPR028559 (PTHR11915:PANTHER); IPR017868 (PROSITE_PROFILES); IPR017868 (PROSITE_PROFILES); IPR017868 (PROSITE_PROFILES); IPR017868 (PROSITE_PROFILES); IPR014756 (SUPERFAMILY); IPR014756 (SUPERFAMILY)
snap_masked-scaffold15735_len47101_cov81-processed-gene-0.17	isoform C	445	20	4.17E-17	42.6%	1	F:actin filament binding		IPR001298 (SMART); IPR013783 (G3DSA:2.60.40.GENE3D); IPR013783 (G3DSA:2.60.40.GENE3D); PTHR11915 (PANTHER); IPR028559 (PTHR11915:PANTHER); IPR017868 (PROSITE_PROFILES); IPR014756 (SUPERFAMILY); IPR014756 (SUPERFAMILY)
augustus_masked-scaffold38677_len19415_cov82-processed-gene-0.0	---NA---	237							no IPS match
snap_masked-scaffold4760_len32078_cov82-processed-gene-0.18	---NA---	67							no IPS match
snap_masked-scaffold27765_len35398_cov73-processed-gene-0.25	---NA---	59							no IPS match
snap_masked-scaffold26327_len14979_cov83_single-processed-gene-0.8	---NA---	340							no IPS match
snap_masked-scaffold26327_len14979_cov83_single-processed-gene-0.10	---NA---	282				1	F:protein binding		IPR013783 (G3DSA:2.60.40.GENE3D); IPR007110 (PROSITE_PROFILES); IPR007110 (SUPERFAMILY)
maker-scaffold831_len51759_cov81-snap-gene-0.41	UBX domain-containing 11	455	20	2.45E-63	51.25%	2	P:proteasome-mediated ubiquitin-dependent protein catabolic process; F:ubiquitin binding		Coil (COILS); IPR012989 (PFAM); PTHR23333:SF4 (PANTHER); PTHR23333 (PANTHER); PTHR23333 (PANTHER); PTHR23333:SF4 (PANTHER); PTHR23333:SF4 (PANTHER); PTHR23333 (PANTHER); IPR012989 (PROSITE_PROFILES); IPR012989 (SUPERFAMILY)
snap_masked-scaffold831_len51759_cov81-processed-gene-0.21	UBX domain-containing 11	141	8	9.66E-11	65.63%	1	F:protein binding		G3DSA:3.10.20.90 (GENE3D); IPR001012 (PFAM); IPR000626 (PROSITE_PROFILES); IPR029071 (SUPERFAMILY)
maker-scaffold56894_len30394_cov83-augustus-gene-0.30	BTB and MATH domain-containing 38-like	238	20	4.29E-36	56.4%	1	F:protein binding		IPR000210 (SMART); G3DSA:3.30.710.10 (GENE3D); IPR000210 (PFAM); PTHR22743:SF139 (PANTHER); PTHR22743 (PANTHER); IPR000210 (PROSITE_PROFILES); IPR011333 (SUPERFAMILY)
maker-scaffold56894_len30394_cov83-snap-gene-0.33	---NA---	128							no IPS match
maker-scaffold14806_len37938_cov67-snap-gene-0.31	Laminin subunit gamma-1	1293	20	0E0	51.5%	3	C:basement membrane; P:system development; P:basement membrane assembly		Coil (COILS); Coil (COILS); Coil (COILS); Coil (COILS); Coil (COILS); PR00011 (PRINTS); IPR000034 (SMART); IPR002049 (SMART); G3DSA:2.10.25.10 (GENE3D); IPR002049 (PFAM); IPR000034 (PFAM); G3DSA:2.10.25.10 (GENE3D); G3DSA:2.10.25.10 (GENE3D); IPR031082 (PTHR10574:PANTHER); PTHR10574 (PANTHER); IPR031082 (PTHR10574:PANTHER); PTHR10574 (PANTHER); IPR031082 (PTHR10574:PANTHER); PTHR10574 (PANTHER); IPR002049 (PROSITE_PATTERNS); IPR002049 (PROSITE_PATTERNS); IPR002049 (PROSITE_PATTERNS); IPR002049 (PROSITE_PATTERNS); IPR002049 (PROSITE_PATTERNS); IPR002049 (PROSITE_PATTERNS); IPR002049 (PROSITE_PATTERNS); IPR002049 (PROSITE_PROFILES); IPR000034 (PROSITE_PROFILES); IPR002049 (PROSITE_PROFILES); IPR002049 (PROSITE_PROFILES); IPR002049 (PROSITE_PROFILES); IPR002049 (PROSITE_PROFILES); IPR002049 (PROSITE_PROFILES); IPR002049 (PROSITE_PROFILES); IPR002049 (PROSITE_PROFILES); cd00055 (CDD); cd00055 (CDD); cd00055 (CDD); cd00055 (CDD); cd00055 (CDD); cd00055 (CDD); cd00055 (CDD); SSF57196 (SUPERFAMILY); SSF57196 (SUPERFAMILY); SSF57196 (SUPERFAMILY); SSF57196 (SUPERFAMILY); SSF57196 (SUPERFAMILY); SSF57196 (SUPERFAMILY)
snap_masked-scaffold14806_len37938_cov67-processed-gene-0.24	laminin subunit gamma-1	419	20	2.56E-129	71.6%	3	C:basement membrane; P:system development; P:basement membrane assembly		IPR008211 (SMART); IPR002049 (PFAM); G3DSA:2.10.25.10 (GENE3D); IPR008211 (PFAM); IPR008979 (G3DSA:2.60.120.GENE3D); PTHR10574 (PANTHER); IPR031082 (PTHR10574:PANTHER); IPR008211 (PROSITE_PROFILES); cd00055 (CDD); IPR008979 (SUPERFAMILY); SSF57196 (SUPERFAMILY)
augustus_masked-scaffold6828_len48692_cov82-processed-gene-0.6	---NA---	340							no IPS match
augustus_masked-scaffold6828_len48692_cov82-processed-gene-0.7	spermatogenesis associated 6 isoform X1	145	20	7.65E-32	60.15%				IPR032732 (PFAM); PTHR16435 (PANTHER)
snap_masked-scaffold11634_len34683_cov71-processed-gene-0.24	---NA---	83							no IPS match
snap_masked-scaffold38677_len19415_cov82-processed-gene-0.7	---NA---	127				1	C:integral component of membrane		IPR004031 (PFAM)
snap_masked-scaffold23616_len50196_cov83-processed-gene-0.32	---NA---	169							no IPS match
snap_masked-scaffold23616_len50196_cov83-processed-gene-0.33	---NA---	119							no IPS match
maker-scaffold53296_len11559_cov87_single-snap-gene-0.14	Golgi-associated plant pathogenesis-related 1	229	20	1.46E-20	52.8%	7	P:positive regulation of epithelial to mesenchymal transition; C:extracellular exosome; F:protein homodimerization activity; P:positive regulation of ERK1 and ERK2 cascade; C:Golgi membrane; P:positive regulation of epithelial cell migration; C:extracellular region		IPR014044 (SMART); IPR014044 (PFAM); IPR014044 (G3DSA:3.40.33.GENE3D); PTHR10334:SF175 (PANTHER); IPR001283 (PANTHER); IPR014044 (SUPERFAMILY)
snap_masked-scaffold53296_len11559_cov87_single-processed-gene-0.10	---NA---	150							no IPS match
maker-scaffold9015_len55465_cov84-augustus-gene-0.48	stress response nst1-like	330	19	5.67E-32	53.11%	3	F:chitin binding; P:chitin metabolic process; C:extracellular region		Coil (COILS); Coil (COILS); Coil (COILS)
snap_masked-scaffold9015_len55465_cov84-processed-gene-0.36	---NA---	80							no IPS match
maker-scaffold17904_len31296_cov82-augustus-gene-0.30	PREDICTED: uncharacterized protein LOC106178816	396	1	5.06E-6	43%				Coil (COILS); IPR029234 (PFAM)
snap_masked-scaffold17904_len31296_cov82-processed-gene-0.23	stimulated by retinoic acid gene 6 homolog	174	20	1.72E-18	52.3%	5	C:membrane; C:integral component of membrane; F:vitamin transporter activity; F:receptor activity; P:vitamin transport		PF14752 (PFAM); PTHR21444 (PANTHER); PTHR21444:SF15 (PANTHER)
maker-scaffold27765_len35398_cov73-augustus-gene-0.36	ETS homologous factor isoform X2	404	20	1.33E-19	59.8%	5	C:transcription factor complex; F:transcription factor activity, sequence-specific DNA binding; P:regulation of transcription, DNA-templated; F:sequence-specific DNA binding; P:regulation of transcription, DNA-templated		IPR000418 (PRINTS); IPR000418 (SMART); IPR000418 (PFAM); IPR011991 (G3DSA:1.10.10.GENE3D); PTHR11849 (PANTHER); IPR000418 (PROSITE_PROFILES); IPR011991 (SUPERFAMILY)
maker-scaffold7144_len28328_cov82-augustus-gene-0.35	suppressor of tumorigenicity 14 homolog	593	20	1.28E-36	47.25%	4	F:protein binding; F:calcium ion binding; P:proteolysis; F:serine-type endopeptidase activity	EC:3.4.21	IPR001314 (PRINTS); IPR001881 (SMART); IPR000742 (SMART); IPR001254 (SMART); G3DSA:2.40.10.10 (GENE3D); G3DSA:2.40.10.10 (GENE3D); G3DSA:2.10.25.10 (GENE3D); IPR001254 (PFAM); G3DSA:2.10.25.10 (GENE3D); G3DSA:2.40.10.10 (GENE3D); G3DSA:2.10.25.10 (GENE3D); IPR001881 (PFAM); PTHR24256 (PANTHER); IPR033116 (PROSITE_PATTERNS); IPR018097 (PROSITE_PATTERNS); IPR018114 (PROSITE_PATTERNS); IPR000152 (PROSITE_PATTERNS); IPR013032 (PROSITE_PATTERNS); IPR018097 (PROSITE_PATTERNS); IPR000152 (PROSITE_PATTERNS); IPR013032 (PROSITE_PATTERNS); IPR013032 (PROSITE_PATTERNS); IPR018097 (PROSITE_PATTERNS); IPR000742 (PROSITE_PROFILES); IPR001254 (PROSITE_PROFILES); IPR000742 (PROSITE_PROFILES); cd00054 (CDD); IPR001254 (CDD); cd00054 (CDD); SSF57196 (SUPERFAMILY); SSF57196 (SUPERFAMILY); IPR009003 (SUPERFAMILY)
snap_masked-scaffold7144_len28328_cov82-processed-gene-0.30	---NA---	88							no IPS match
snap_masked-scaffold7144_len28328_cov82-processed-gene-0.29	---NA---	68							no IPS match
maker-scaffold8385_len52983_cov72-augustus-gene-0.48	ubiquitin carboxyl-terminal hydrolase 2-like isoform X2	552	20	1.4E-121	67.3%	3	P:protein deubiquitination; F:thiol-dependent ubiquitinyl hydrolase activity; P:ubiquitin-dependent protein catabolic process	EC:3.4.19.12	Coil (COILS); G3DSA:2.20.210.10 (GENE3D); IPR001394 (PFAM); PTHR24006:SF454 (PANTHER); PTHR24006 (PANTHER); IPR018200 (PROSITE_PATTERNS); IPR018200 (PROSITE_PATTERNS); IPR028889 (PROSITE_PROFILES); cd02674 (CDD); SSF54001 (SUPERFAMILY)
augustus_masked-scaffold8385_len52983_cov72-processed-gene-0.2	tubby-related 3-like isoform X1	446	20	7.28E-21	46.45%	7	P:chordate embryonic development; P:regulation of cellular process; P:tube development; P:nervous system development; C:cell part; P:animal organ development; P:tissue development		IPR000007 (PRINTS); IPR000007 (G3DSA:3.20.90.GENE3D); IPR000007 (PFAM); PTHR16517:SF20 (PANTHER); PTHR16517 (PANTHER); IPR025659 (SUPERFAMILY)
maker-scaffold85878_len3600_cov70-augustus-gene-0.5	dynein heavy chain axonemal	295	20	3.8E-24	55.85%	2	F:catalytic activity; P:cellular process		no IPS match
snap_masked-scaffold85878_len3600_cov70-processed-gene-0.4	---NA---	74							no IPS match
snap_masked-scaffold31183_len50624_cov79-processed-gene-0.47	---NA---	114							no IPS match
snap_masked-scaffold31183_len50624_cov79-processed-gene-0.48	---NA---	64							no IPS match
maker-scaffold3617_len101372_cov81-augustus-gene-0.89	excitatory amino acid transporter 3	535	20	5.74E-150	68.5%	3	C:integral component of membrane; F:symporter activity; P:transport		IPR001991 (PRINTS); IPR001991 (PFAM); IPR001991 (G3DSA:1.10.3860.GENE3D); IPR001991 (PANTHER); PTHR11958:SF63 (PANTHER); IPR018107 (PROSITE_PATTERNS); IPR001991 (SUPERFAMILY)
augustus_masked-scaffold3737_len11406_cov87-processed-gene-0.1	phospholipid scramblase 2-like isoform X1	246	20	3.13E-82	66.1%	3	C:membrane; P:phospholipid transport; F:phospholipid scramblase activity		IPR005552 (PFAM); IPR005552 (PANTHER); IPR025659 (SUPERFAMILY)
snap_masked-scaffold3737_len11406_cov87-processed-gene-0.11	---NA---	80							no IPS match
snap_masked-scaffold5203_len10399_cov83-processed-gene-0.7	---NA---	106							no IPS match
snap_masked-scaffold5203_len10399_cov83-processed-gene-0.6	---NA---	88							IPR009011 (G3DSA:2.70.130.GENE3D); IPR009011 (SUPERFAMILY)
augustus_masked-scaffold43215_len4326_cov66-processed-gene-0.0	---NA---	693							no IPS match
snap_masked-scaffold43215_len4326_cov66-processed-gene-0.3	---NA---	70							no IPS match
snap_masked-scaffold17904_len31296_cov82-processed-gene-0.24	---NA---	613							no IPS match
snap_masked-scaffold3617_len101372_cov81-processed-gene-0.70	---NA---	64							no IPS match
augustus_masked-scaffold13935_len97764_cov83-processed-gene-0.10	von Willebrand factor type EGF and pentraxin domain-containing 1-like	448	20	9.58E-21	53.8%	4	F:calcium ion binding; C:membrane; C:integral component of membrane; P:cell adhesion		IPR000436 (SMART); G3DSA:2.10.70.10 (GENE3D); G3DSA:2.10.70.10 (GENE3D); IPR000436 (PFAM); G3DSA:2.10.70.10 (GENE3D); IPR013320 (G3DSA:2.60.120.GENE3D); PTHR19325 (PANTHER); IPR000436 (PROSITE_PROFILES); IPR000436 (PROSITE_PROFILES); IPR000436 (PROSITE_PROFILES); cd00033 (CDD); cd00033 (CDD); cd00033 (CDD); IPR000436 (SUPERFAMILY); IPR013320 (SUPERFAMILY); IPR000436 (SUPERFAMILY); IPR000436 (SUPERFAMILY)
snap_masked-scaffold13935_len97764_cov83-processed-gene-0.62	---NA---	101							no IPS match
snap_masked-scaffold8350_len53858_cov84-processed-gene-0.43	---NA---	77							no IPS match
maker-scaffold3257_len26282_cov81-augustus-gene-0.27	calmodulin	151	20	7.45E-29	62%	1	F:calcium ion binding		PR00450 (PRINTS); IPR002048 (SMART); IPR002048 (PFAM); IPR011992 (G3DSA:1.10.238.GENE3D); IPR011992 (G3DSA:1.10.238.GENE3D); PTHR10891 (PANTHER); IPR018247 (PROSITE_PATTERNS); IPR018247 (PROSITE_PATTERNS); IPR018247 (PROSITE_PATTERNS); IPR018247 (PROSITE_PATTERNS); IPR002048 (PROSITE_PROFILES); IPR002048 (PROSITE_PROFILES); IPR002048 (PROSITE_PROFILES); IPR002048 (PROSITE_PROFILES); cd00051 (CDD); cd00051 (CDD); IPR011992 (SUPERFAMILY)
genemark-scaffold3257_len26282_cov81-processed-gene-0.7	Calmodulin	162	20	1.14E-27	60.95%	1	F:calcium ion binding		IPR002048 (SMART); IPR011992 (G3DSA:1.10.238.GENE3D); IPR002048 (PFAM); PTHR10891 (PANTHER); IPR018247 (PROSITE_PATTERNS); IPR018247 (PROSITE_PATTERNS); IPR018247 (PROSITE_PATTERNS); IPR018247 (PROSITE_PATTERNS); IPR002048 (PROSITE_PROFILES); IPR002048 (PROSITE_PROFILES); IPR002048 (PROSITE_PROFILES); IPR002048 (PROSITE_PROFILES); cd00051 (CDD); cd00051 (CDD); IPR011992 (SUPERFAMILY)
maker-scaffold60111_len39771_cov82-augustus-gene-0.30	annexin A4	193	20	5.09E-65	73%	2	F:calcium ion binding; F:calcium-dependent phospholipid binding		IPR001464 (PRINTS); IPR018502 (SMART); IPR018502 (G3DSA:1.10.220.GENE3D); IPR018502 (PFAM); IPR018502 (G3DSA:1.10.220.GENE3D); PTHR10502 (PANTHER); IPR018252 (PROSITE_PATTERNS); IPR018252 (PROSITE_PATTERNS); SSF47874 (SUPERFAMILY)
maker-scaffold60111_len39771_cov82-augustus-gene-0.31	annexin A6 isoform X1	812	20	9.41E-151	63.95%	2	F:calcium ion binding; F:calcium-dependent phospholipid binding		IPR001464 (PRINTS); IPR018502 (SMART); PF13290 (PFAM); IPR018502 (G3DSA:1.10.220.GENE3D); IPR018502 (G3DSA:1.10.220.GENE3D); IPR018502 (G3DSA:1.10.220.GENE3D); IPR018502 (PFAM); PTHR10502 (PANTHER); IPR018252 (PROSITE_PATTERNS); IPR018252 (PROSITE_PATTERNS); SSF47874 (SUPERFAMILY); SSF47874 (SUPERFAMILY)
snap_masked-scaffold31564_len6641_cov80-processed-gene-0.5	acid-sensing ion channel 5	318	20	3.84E-11	43.6%	3	P:sodium ion transport; C:membrane; F:sodium channel activity		IPR001873 (PRINTS); IPR001873 (PFAM); G3DSA:2.60.470.10 (GENE3D); IPR001873 (PANTHER)
snap_masked-scaffold31564_len6641_cov80-processed-gene-0.6	---NA---	126							no IPS match
snap_masked-scaffold8385_len52983_cov72-processed-gene-0.25	---NA---	264							no IPS match
maker-scaffold24125_len8732_cov70-augustus-gene-0.10	hypothetical protein	254	1	1.84E-13	64%				no IPS match
snap_masked-scaffold24125_len8732_cov70-processed-gene-0.8	---NA---	95							no IPS match
augustus_masked-scaffold20077_len38143_cov83-processed-gene-0.3	dead ringer homolog	942	20	1.45E-78	78.55%	1	F:DNA binding		SM01014 (SMART); IPR001606 (SMART); IPR001606 (G3DSA:1.10.150.GENE3D); IPR001606 (PFAM); PTHR15348 (PANTHER); IPR001606 (PROSITE_PROFILES); IPR001606 (SUPERFAMILY)
maker-scaffold23616_len50196_cov83-snap-gene-0.55	---NA---	118							no IPS match
snap_masked-scaffold7038_len80215_cov80-processed-gene-0.65	---NA---	232							Coil (COILS)
snap_masked-scaffold7038_len80215_cov80-processed-gene-0.66	---NA---	329							no IPS match
maker-scaffold61252_len22054_cov82-snap-gene-0.21	transient receptor potential cation channel subfamily M member 2-like isoform X2	473	20	1.86E-58	48.2%	1	F:hydrolase activity		Coil (COILS); Coil (COILS); IPR015797 (G3DSA:3.90.79.GENE3D); PTHR13030:SF8 (PANTHER); PTHR13030 (PANTHER)
snap_masked-scaffold61252_len22054_cov82-processed-gene-0.13	transient receptor potential cation channel subfamily M member 5-like	95	4	5.03E-7	78.5%				no IPS match
snap_masked-scaffold20077_len38143_cov83-processed-gene-0.34	---NA---	91							no IPS match
snap_masked-scaffold3023_len26384_cov74-processed-gene-0.24	---NA---	152							no IPS match
augustus_masked-scaffold3023_len26384_cov74-processed-gene-0.4	---NA---	98							no IPS match
maker-scaffold1010_len43533_cov78-snap-gene-0.45	uromodulin-like isoform X2	631	14	6.47E-9	40%	1	F:protein binding		IPR000742 (SMART); IPR001507 (SMART); G3DSA:2.10.25.10 (GENE3D); IPR013032 (PROSITE_PATTERNS); IPR001507 (PROSITE_PROFILES); IPR000742 (PROSITE_PROFILES); cd00054 (CDD); SSF57196 (SUPERFAMILY)
snap_masked-scaffold1010_len43533_cov78-processed-gene-0.20	---NA---	67							no IPS match
maker-scaffold4760_len32078_cov82-augustus-gene-0.20	transcriptional regulator ERG homolog	350	20	1.25E-70	65.7%	5	C:transcription factor complex; F:transcription factor activity, sequence-specific DNA binding; P:regulation of transcription, DNA-templated; F:sequence-specific DNA binding; P:regulation of transcription, DNA-templated		IPR000418 (PRINTS); IPR000418 (SMART); IPR000418 (PFAM); IPR011991 (G3DSA:1.10.10.GENE3D); PTHR11849 (PANTHER); PTHR11849 (PANTHER); PTHR11849:SF203 (PANTHER); PTHR11849:SF203 (PANTHER); IPR000418 (PROSITE_PATTERNS); IPR000418 (PROSITE_PATTERNS); IPR000418 (PROSITE_PROFILES); IPR011991 (SUPERFAMILY)
maker-scaffold49644_len58344_cov83-augustus-gene-0.49	GTP-binding GEM	822	20	3.56E-38	53.05%	3	F:GTP binding; P:small GTPase mediated signal transduction; C:membrane		PR00449 (PRINTS); SM00175 (SMART); SM00173 (SMART); IPR027417 (G3DSA:3.40.50.GENE3D); IPR001806 (PFAM); IPR020849 (PANTHER); IPR020849 (PANTHER); PTHR24070:SF183 (PANTHER); PTHR24070:SF183 (PANTHER); IPR020849 (PROSITE_PROFILES); IPR027417 (SUPERFAMILY)
snap_masked-scaffold49644_len58344_cov83-processed-gene-0.36	---NA---	59							no IPS match
snap_masked-scaffold12134_len44781_cov81-processed-gene-0.31	---NA---	126							no IPS match
snap_masked-scaffold8350_len53858_cov84-processed-gene-0.42	---NA---	134							no IPS match
augustus_masked-scaffold20_len50021_cov78-processed-gene-0.8	---NA---	144							no IPS match
snap_masked-scaffold20_len50021_cov78-processed-gene-0.43	---NA---	93							no IPS match
augustus_masked-scaffold11596_len37534_cov83-processed-gene-0.1	---NA---	461				1	F:metal ion binding		IPR015880 (SMART); IPR007087 (PROSITE_PATTERNS); IPR007087 (PROSITE_PATTERNS); IPR007087 (PROSITE_PROFILES); IPR007087 (PROSITE_PROFILES)
snap_masked-scaffold11596_len37534_cov83-processed-gene-0.18	---NA---	60							no IPS match
maker-scaffold28854_len39144_cov83_single-snap-gene-0.58	---NA---	190							no IPS match
snap_masked-scaffold28854_len39144_cov83_single-processed-gene-0.43	---NA---	461							Coil (COILS)
maker-scaffold3917_len46394_cov84-snap-gene-0.55	Coiled-coil domain-containing 96	387	20	9.31E-96	68.05%				Coil (COILS); Coil (COILS); Coil (COILS); Coil (COILS); Coil (COILS); Coil (COILS); IPR025254 (PFAM); PTHR15654 (PANTHER); PTHR15654:SF1 (PANTHER)
snap_masked-scaffold768_len46757_cov81-processed-gene-0.20	---NA---	190							no IPS match
snap_masked-scaffold768_len46757_cov81-processed-gene-0.19	---NA---	154							no IPS match
snap_masked-scaffold1320_len31256_cov80-processed-gene-0.18	probable G- coupled receptor 83	141	20	6.7E-15	66.55%	3	F:G-protein coupled receptor activity; P:G-protein coupled receptor signaling pathway; C:integral component of membrane		Coil (COILS); IPR000276 (PRINTS); IPR000276 (PFAM); G3DSA:1.20.1070.10 (GENE3D); PTHR24242 (PANTHER); IPR017452 (PROSITE_PROFILES); SSF81321 (SUPERFAMILY)
snap_masked-scaffold1320_len31256_cov80-processed-gene-0.17	tachykinin-like peptides receptor 99D	334	20	1.28E-44	55.3%	3	F:G-protein coupled receptor activity; P:G-protein coupled receptor signaling pathway; C:integral component of membrane		IPR000276 (PRINTS); IPR000276 (PFAM); G3DSA:1.20.1070.10 (GENE3D); PTHR24242 (PANTHER); IPR000276 (PROSITE_PATTERNS); IPR017452 (PROSITE_PROFILES); SSF81321 (SUPERFAMILY)
snap_masked-scaffold4595_len117211_cov81-processed-gene-0.110	---NA---	155							no IPS match
snap_masked-scaffold45099_len24199_cov82-processed-gene-0.20	---NA---	304							Coil (COILS); Coil (COILS); Coil (COILS)
snap_masked-scaffold45099_len24199_cov82-processed-gene-0.19	---NA---	135							Coil (COILS)
